"56","P0078","","","MARMOL BLANCO 45X45","","MTK","1","1","","22","","0"
"57","P0080","","","UCAYALI NATURAL 45X45","","MTK","1","1","","18.5","","0"
"58","P0081","","","QATRA NATURAL 45X45","","MTK","1","1","","20","","0"
"59","P0083","","","CAIRO 45X45","","MTK","1","1","","21.5","","0"
"60","P0086","","","ROBLE BEIGE 45X45","","MTK","1","1","","22","","0"
"61","P0087","","","LAJA NEW BEIGE 45X45","","MTK","1","1","","23.5","","0"
"62","P0088","","","PISO MARBELLA NATURAL 45X45 (2.44XCAJ) X12PZA","","MTK","1","1","","18.5","","0"
"63","P0089","","","PISO MERIDA NATURAL 45X45 (2.44XCAJ) X 12PZA","","MTK","1","1","","19.5","","0"
"64","P0090","PISO","","PISO ACUARELA CURVAS CORAL 45X45 (2.03 XCAJ) X 10PZA","","MTK","1","1","","23","","0"
"65","P0091","","","LAREDO NATURAL 45X45","","MTK","1","1","","20.5","","0"
"66","P0092","","","THALIA PLATA 45X45 (2.08X10PZAS)","","MTK","1","1","","19.5","","0"
"67","P0095","","","AVELLANA BEIGE 45X45","","MTK","1","1","","20","","0"
"68","P0096","","","MOLLENDO MIX 45X45 (2.23X11PZAS)","","MTK","1","1","","23.5","","0"
"69","P0097","","","JEREZ CARAMELO 45X45","","MTK","1","1","","20","","0"
"70","P0098","","","KIARITA CARAMELO 45X45","","MTK","1","1","","21","","0"
"71","P0099","","","PISO ORION BEIGE 45X45 (2.23XCAJ) X 11PZA","","MTK","1","1","","20","","0"
"72","P0100","","","NATALIA MARFIL 45X45","","MTK","1","1","","20","","0"
"73","P0102","","","BLANCO FORTE 45X45","","MTK","1","1","","20.5","","0"
"74","P0103","","","JACARANDA 45X45","","MTK","1","1","","19.5","","0"
"75","P0104","PISO","","PISO ROBLE MIX NATURAL 1° 45X45 (2.03XCAJ) X 10PZA","","MTK","1","1","","23.5","","0"
"76","P0105","celima","piso 45x45 natura","NATURA CARAMELO 45X45 (2.23X11PZAS)COMERCIAL","madera","MTK","1","1","","20","","0"
"77","P0107","","","TOLEDO 45X45","","MTK","1","1","","19","","0"
"78","P0110","","","PISO MICHIGAN NATURAL 45X45 (2.03X CAJ) X 10PZA","","MTK","1","1","","28.5","","0"
"79","P0111","","","ATENAS MARFIL 45X45","","MTK","1","1","","20","","0"
"80","P0112","","","PISO LETICIA BEIGE 45X45 (2.03 XCA) X 10PZA","","MTK","1","1","","24.5","","0"
"81","P0113","","","DAKAR 45X45","CELIMA","MTK","1","1","","24","","0"
"82","P0115","","","SPRINGFIELD 46X46","","MTK","1","1","","20","","0"
"83","P0118","","","PORCELANATO NUBE 60X60","","MTK","1","2","","30","","0"
"84","P0119","","","PORCELANATO GRIS DOBLE CARGA 60X60 (1.44XCAJ) X 4PZA ROMASA","ROMASA GRIS 60X60","MTK","1","2","","35","","0"
"85","P0120","","","PORCELANATO OXFORD MARFIL 60X60","","MTK","1","2","","30.5","","0"
"86","P0122","SUPER NEGRO 60X60","","PORCELANATO SUPER NEGRO 60X60","","MTK","1","2","","64","","0"
"87","P0124","","","PORCELANICO KIARA CARAMELO 60X60","","MTK","1","2","","28","","0"
"88","P0126","","","PORCELANICO FOREST CARAMELO 60X60","","MTK","1","3","","28","","0"
"89","P0127","","","DECORADO LAR BAÑO","","NIU","1","","","20","","0"
"90","P0128","","","GRECIA BAÑO","","NIU","1","","","20","","0"
"91","P0129","","","DECORADO ANDES ESTRELLA MAR 30X60","","NIU","1","","","20","","0"
"92","P0130","","","DECORADO SEA BAÑO 30X60","","NIU","1","","","20","","0"
"93","P0131","","","SAHARA TOALLAS","","NIU","1","","","20","","0"
"94","P0134","","","SARA GRIS ESTRELLA","","NIU","1","","","20","","0"
"95","P0135","","","SALDO GOTAS AZUL","","NIU","1","","","20","","0"
"96","P0136","","","HOJITAS MARFIL TOALLA BEIGE","","NIU","1","","","20","","0"
"97","P0138","","","TETERA GRIS","","NIU","1","","","20","","0"
"98","P0139","","","SEA GRIS BEIGE","","NIU","1","","","20","","0"
"99","P0141","","","ROSA MARFIL","","NIU","1","","","20","","0"
"100","P0142","","","SARA PESCADITO","","NIU","1","","","20","","0"
"101","P0143","","","SARA FLOR","","NIU","1","","","20","","0"
"102","P0144","","","DECORADO LADRILLO BAÑO","","NIU","1","","","20","","0"
"103","P0145","","","SEA PLATA BAÑO","","NIU","1","","","20","","0"
"104","P0146","","","GARDENIA","","NIU","1","","","20","","0"
"105","P0147","DECORADO PARA COSINA","","DECORADO LAR COCINA 30X60","LAR","NIU","1","","","20","","0"
"106","P0148","","","GRECIA COFEE","","NIU","1","","","20","","0"
"107","P0149","","","DECORADO IMPORTADO ANDES TAZAS COFEE 30X60 PARA COCINA","","NIU","1","","","20","","0"
"108","P0150","","","SEA COPAS","","NIU","1","","","20","","0"
"109","P0153","","","SEA PLATA COCINA","","NIU","1","","","20","","0"
"110","P0155","","","GRECIA MARFIL TETERA","","NIU","1","","","20","","0"
"111","P0156","","","SARA GRIS TETERA","","NIU","1","","","20","","0"
"112","P0157","","","PERFIL PVC CHOCOLATE 8.5 BELLAPLAST","BELLAPLAST","NIU","1","","","3.5","","0"
"113","P0158","","","PERFIL PVC GUINDA CLARO 8.5 SUPERPLAST","SUPERPLAST","NIU","1","","","3.5","","0"
"114","P0159","","","PERFIL PVC MADERA 8.5 BELLAPLAST","BELLAPLAST","NIU","1","","","3.5","","0"
"115","P0160","","","PERFIL PVC CUERO CLARO 8.5 USAPLAST","USAPLAST","NIU","1","","","3.5","","0"
